ADP,Admissão,Desligamento,Desligado?,Iniciativa Desligamento,Tempo de Casa,Cod.Cargo,Cargo,Cod.Cargo Admissão,Cargo Admissão,CC,Area,Diretoria,Estado Civil,Educação,Idade Atual/ Desligamento,Idade na Admissão,Sexo,Banda,Nivel,Hora Extra 2016,Hora Negativa 2016,Ad. Noturno 2016,Absenteísmo 2016,Hora Extra 2017,Hora Negativa 2017,Ad. Noturno 2017,Absenteísmo 2017,2012/13 Rating,2012/13 Goal Achievement,2013/14 Rating,2013/14 Goal Achievement,2014/15 Rating,2014/15 Goal Achievement,2015/16 Rating,2015/16 Goal Achievement,2016/17 Rating,2016/17 Goal Achievement,AUMENTO 2012,AUMENTO 2013,AUMENTO 2014,AUMENTO 2015,AUMENTO 2016,AUMENTO 2017,DISSIDIO 2012,DISSIDIO 2013,DISSIDIO 2014,DISSIDIO 2015,DISSIDIO 2016,DISSIDIO 2017,MERITO 2012,MERITO 2013,MERITO 2014,MERITO 2015,MERITO 2016,MERITO 2017,PROMOÇÃO 2012,PROMOÇÃO 2013,PROMOÇÃO 2014,PROMOÇÃO 2015,PROMOÇÃO 2016,PROMOÇÃO 2017,PROMOVIDO
57,4/20/2006,9/1/2014,Y,Funcionário,8.4,782,DIRETORIA,689,ASSISTENTE,1121,Latam,Latam,CASADO,SUPERIOR COMPLETO,32.5369863013699,24.1643835616438,M,700,Organizational Leaders,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,Y,,,,,,,,,,,,0
59,4/12/2007,7/13/2012,Y,Funcionário,5.3,793,GERENTE,697,ANALISTA PL,1230,Implementation,Operations,CASADO,SUPERIOR COMPLETO,32.7506849315068,27.4931506849315,H,500,Middle Mgmt & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,0
60,4/20/2007,2/2/2009,Y,Empregador ,1.8,696,ANALISTA SR,696,ANALISTA SR,1010,Accounting & Tax,Finance,SOLTEIRO,SUPERIOR COMPLETO,25.7123287671233,23.9205479452055,H,300,Coord & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61,6/1/2007,5/2/2008,Y,Empregador ,0.9,700,GERENTE,700,GERENTE,1010,Accounting & Tax,Finance,SEPARADO,SUPERIOR COMPLETO,44.8520547945205,43.9315068493151,H,650,SR Mgmt & Experts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
62,6/1/2007,          ,N,,11.6,626,COORDENADOR,626,COORDENADOR,1220,Engineering,Operations,SOLTEIRO,SUPERIOR COMPLETO,36,26.6986301369863,M,300,Coord & Exp.Professionals,43.0433333333333,3.5,0,3,61.3166666666667,0,0,1,Q,,O,100,Q,110,Q,100,E,104.1,,,,,,,Y,Y,Y,Y,Y,,,Y,Y,Y,,,Y,,,,,Y,1
63,6/1/2007,          ,N,,11.6,838,ANALISTA SR,701,ANALISTA JR,1030,Legal,Legal,CASADO,SUPERIOR COMPLETO,35,25.6684931506849,H,400,Middle Mgmt & Exp.Professionals,31.2333333333333,0,0.483333333333333,0.999999999999999,30.3,0.383333333333333,0,0,Q,,Q,98,Q,100,Q,101,E,114.9,,Y,,,,,Y,Y,Y,Y,Y,,,,Y,,,Y,Y,,,,,,1
64,6/1/2007,          ,N,,11.6,1057,GERENTE SR,702,COORDENADOR,1015,Accounts Receivables,Finance,SOLTEIRO,SUPERIOR COMPLETO,37,27.0630136986301,H,600,SR Mgmt & Experts,,,,0,,,,0,E,,Q,98,Q,110.4,E,115,E,118.8,,Y,,,,,Y,Y,Y,Y,Y,,,Y,Y,Y,,,,,,,,Y,1
65,6/1/2007,9/3/2008,Y,Funcionário,1.3,703,SUPERVISOR,703,SUPERVISOR,1230,Implementation,Operations,CASADO,SUPERIOR COMPLETO,28.0465753424658,26.786301369863,H,200,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,6/1/2007,          ,N,,11.6,956,GERENTE,704 ,ANALISTA JR,1100,Sales,Sales,SOLTEIRO,PÓS GRADUAÇÃO                      ,34,24.1561643835616,H,500,Middle Mgmt & Exp.Professionals,,,,0,,,,0,Q,,E,95.5,Q,100,E,99.9,E,113.1,,,,,,,Y,Y,Y,Y,Y,,,Y,,Y,,,,,,,,,0
67,6/1/2007,6/21/2010,Y,Funcionário,3.1,705,ASSISTENTE,705,ASSISTENTE,1250,Maintenance,Operations,CASADO,ENSINO MÉDIO COMPLETO,42.4575342465753,39.4,H,100,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
68,6/1/2007,1/18/2011,Y,Empregador ,3.6,626,COORDENADOR,626,COORDENADOR,1250,Maintenance,Operations,SOLTEIRO,SUPERIOR COMPLETO,33.9397260273973,30.3041095890411,M,300,Coord & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
69,6/1/2007,          ,N,,11.6,647,GERENTE,626,COORDENADOR,1230,Implementation,Operations,CASADO,SUPERIOR COMPLETO,42,32.5178082191781,M,500,Middle Mgmt & Exp.Professionals,,,,0,,,,0,E,,E,95.5,E,115.2,Q,109.2,E,104.8,,,,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,,,,,Y,1
70,6/19/2007,          ,N,,11.5,845,COORDENADOR,641,SUPERVISOR,1270,Quality Control & Projects,Operations,CASADO,ENSINO MÉDIO COMPLETO,45,35.6383561643836,H,300,Coord & Exp.Professionals,,,,0,,,,0,E,,Q,94,E,124.5,E,102.3,E,102,,,,,,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,,,,0
71,8/1/2007,          ,N,,11.4,954,ANALISTA SR,671,ASSISTENTE,1015,Accounts Receivables,Finance,SOLTEIRO,SUPERIOR COMPLETO,35,25.3287671232877,M,300,Coord & Exp.Professionals,61.6,0,7.6,0,40.1666666666667,0,0,0,Q,,D,82,Q,105,Q,105,Q,102.7,,,,,,,Y,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,0
72,9/3/2007,3/31/2011,Y,Empregador ,3.6,754,DIRETORIA,706,DIRETORIA,1000,Administrative,Administrative,CASADO,MESTRADO                           ,62.8657534246575,59.2904109589041,H,700,Organizational Leaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
73,12/10/2007,6/3/2011,Y,Funcionário,3.5,725,COORDENADOR,707,ANALISTA PL,1040,HR,HR & Facilities,CASADO,SUPERIOR COMPLETO,37.7561643835616,34.2739726027397,M,400,Middle Mgmt & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
74,1/2/2008,6/21/2010,Y,Empregador ,2.5,753,COORDENADOR,708,ANALISTA JR,1250,Maintenance,Operations,CASADO,SUPERIOR COMPLETO,27.8301369863014,25.3616438356164,H,300,Coord & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
75,1/2/2008,7/16/2008,Y,Funcionário,0.5,708,ANALISTA JR,708,ANALISTA JR,1230,Implementation,Operations,SOLTEIRO,SUPERIOR COMPLETO,26.7041095890411,26.1671232876712,H,200,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76,1/2/2008,          ,N,,11.0,822,SUPERVISOR,705,ASSISTENTE,1270,Quality Control & Projects,Operations,SOLTEIRO,SUPERIOR COMPLETO,49,40.2301369863014,H,300,Coord & Exp.Professionals,,,,0,,,,0,E,,O,100,E,125,E,118.3,E,108.7,,,,,,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,,,,0
77,1/2/2008,3/28/2013,Y,Funcionário,5.2,793,GERENTE,709,SUPERVISOR,1230,Implementation,Operations,SOLTEIRO,SUPERIOR COMPLETO,33.8219178082192,28.5835616438356,M,500,Middle Mgmt & Exp.Professionals,,,,,,,,,Q,,,,,,,,,,,,,,,,Y,,,,,,Y,Y,,,,,,,,,,,0
78,1/2/2008,3/16/2011,Y,Funcionário,3.2,764,COORDENADOR,710,ANALISTA JR,1250,Maintenance,Operations,CASADO,SUPERIOR COMPLETO,28.7150684931507,25.5123287671233,H,300,Coord & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
79,2/1/2008,          ,N,,10.9,1061,ESPECIALISTA,713,ANALISTA SR,1014,Purchasing,Finance,CASADO,SUPERIOR COMPLETO,52,42.558904109589,H,400,Middle Mgmt & Exp.Professionals,60.4333333333333,0,0,0,40.9833333333333,0.983333333333333,0,0,Q,,E,99.5,Q,110,E,120,E,109.8,,,,,,,Y,Y,Y,Y,Y,,Y,,Y,Y,,,,,,,,Y,1
80,3/7/2008,7/15/2011,Y,Funcionário,3.4,799,ANALISTA PL,714,ANALISTA PL,1010,Accounting & Tax,Finance,SOLTEIRO,SUPERIOR COMPLETO,28.213698630137,24.8575342465753,M,300,Coord & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81,4/1/2008,11/13/2012,Y,Empregador ,4.6,715,COORDENADOR,715,COORDENADOR,1010,Accounting & Tax,Finance,CASADO,SUPERIOR COMPLETO,55.2547945205479,50.6328767123288,H,300,Coord & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,0
82,4/1/2008,10/28/2010,Y,Empregador ,2.6,718,GERENTE,718,GERENTE,1250,Maintenance,Operations,CASADO,PÓS GRADUAÇÃO                      ,65.7369863013699,63.1616438356164,H,500,Middle Mgmt & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
83,4/1/2008,11/7/2012,Y,Empregador ,4.6,837,ANALISTA PL,719,ANALISTA JR,1010,Accounting & Tax,Finance,SOLTEIRO,SUPERIOR COMPLETO,32.8547945205479,28.2493150684931,H,200,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,1
84,4/1/2008,          ,N,,10.8,1079,DIRETORIA,717,COORDENADOR,1052,IT - Latam,IT,CASADO,SUPERIOR COMPLETO,42,33.572602739726,H,700,Organizational Leaders,,,,0,,,,0,E,,,,E,120,O,127,E,118.8,,,,,,,Y,Y,Y,Y,Y,,,,Y,Y,,Y,,Y,,,Y,Y,1
85,4/1/2008,9/8/2008,Y,Funcionário,0.4,641,SUPERVISOR,641,SUPERVISOR,1230,Implementation,Operations,SOLTEIRO,SUPERIOR COMPLETO,24.3753424657534,23.9369863013699,H,200,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
86,4/1/2008,12/1/2011,Y,Empregador ,3.7,647,GERENTE,716,COORDENADOR,1050,IT -Infra,IT,CASADO,PÓS GRADUAÇÃO                      ,35.6219178082192,31.9534246575342,H,500,Middle Mgmt & Exp.Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
87,4/1/2008,          ,N,,10.8,819,SUPERVISOR,641,SUPERVISOR,1231,Reinforcement,Operations,SOLTEIRO,SUPERIOR COMPLETO,37,28.0438356164384,H,300,Coord & Exp.Professionals,11.22,0,0,0,0,0,0,0,E,,Q,83,Q,104.8,Q,113.3,Q,105.1,,,,,,,Y,Y,Y,Y,Y,,,,,,Y,,,,,,,,0
88,5/1/2008,6/21/2010,Y,Funcionário,2.1,704,ANALISTA JR,704 ,ANALISTA JR,1250,Maintenance,Operations,SOLTEIRO,SUPERIOR COMPLETO,29.1397260273973,27,H,200,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
89,8/1/2008,          ,N,,10.4,964,GERENTE,729,COORDENADOR,1120,Strategy & New Products,Strategy & New Products,CASADO,ENSINO MÉDIO COMPLETO,42,33.5013698630137,H,500,Middle Mgmt & Exp.Professionals,,,,0,,,,0,Q,,Q,97.5,Q,108.5,Q,105,Q,97.8,,,,,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,,1
90,8/15/2008,8/11/2017,Y,Funcionário,9.0,956,GERENTE,730,ANALISTA PL,1100,Sales,Sales,SOLTEIRO,SUPERIOR COMPLETO,37.145205479452,28.1506849315068,M,500,Middle Mgmt & Exp.Professionals,,,,0,,,,0,E,,Q,93.5,E,115,E,99.9,Q,109.1,,,,,,,Y,Y,Y,Y,Y,,Y,,Y,Y,,,,Y,,,,,1
91,8/18/2008,3/14/2014,Y,Funcionário,5.6,780,GERENTE,731,ANALISTA PL,1041,Facilities,HR & Facilities,SOLTEIRO,PÓS GRADUAÇÃO                      ,34.2191780821918,28.6465753424658,M,500,Middle Mgmt & Exp.Professionals,,,,,,,,,O,,Q,94,,,,,,,,,,,,,Y,Y,,,,,Y,Y,,,,,,,,,,,0
92,8/18/2008,          ,N,,10.4,838,ANALISTA SR,727,ANALISTA PL,1030,Legal,Legal,SOLTEIRO,PÓS GRADUAÇÃO                      ,35,26.9753424657534,M,400,Middle Mgmt & Exp.Professionals,6.11666666666667,10.0166666666667,0,38,0,2.75,0,0,Q,,E,86,Q,100,Q,93.5,Q,104.6,,Y,,,,,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,1
93,9/3/2008,          ,N,,10.3,829,COORDENADOR,641,SUPERVISOR,1231,Reinforcement,Operations,CASADO,SUPERIOR COMPLETO,42,33.9780821917808,H,300,Coord & Exp.Professionals,24.3833333333333,0,0,2,46.3166666666667,0,0,0,E,,Q,96,Q,109.9,Q,110.1,E,105.7,,,,,,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,,,,0
94,9/8/2008,          ,N,,10.3,793,GERENTE,739,GERENTE,1210,BTS,Operations,CASADO,SUPERIOR COMPLETO,43,34.2493150684932,H,500,Middle Mgmt & Exp.Professionals,,,,0,,,,0,Q,,Q,98.8,E,110.4,Q,104.1,Q,103.8,,,,,,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,,,,0
95,9/8/2008,          ,N,,10.3,724,GERENTE,742,COORDENADOR,1300,Site Acquisition,Operations,SOLTEIRO,SUPERIOR COMPLETO,37,28.8301369863014,H,600,SR Mgmt & Experts,,,,0,,,,0,Q,,Q,99,E,110.1,Q,103.8,Q,105.4,,,,,,,Y,Y,Y,Y,Y,,,Y,,Y,Y,,,,,,,,0
96,9/15/2008,11/3/2008,Y,Funcionário,0.1,710,ANALISTA JR,710,ANALISTA JR,1230,Implementation,Operations,SOLTEIRO,SUPERIOR COMPLETO,24.3917808219178,24.2575342465753,M,200,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
97,9/15/2008,          ,N,,10.3,895,GERENTE,626,COORDENADOR,1280,Service Delivery,Operations,CASADO,SUPERIOR COMPLETO,33,24.1643835616438,M,650,SR Mgmt & Experts,,,,0,,,,0,O,,E,96.6,E,124.7,E,113.3,Q,110.5,,,,,,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,,Y,,,Y,,,,1
98,9/15/2008,8/21/2013,Y,Empregador ,4.9,742,COORDENADOR,742,COORDENADOR,1250,Maintenance,Operations,CASADO,SUPERIOR COMPLETO,34.6027397260274,29.6684931506849,H,300,Coord & Exp.Professionals,,,,,,,,,D,,,,,,,,,,,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,0
99,9/15/2008,2/5/2010,Y,Funcionário,1.4,741,ANALISTA JR,741,ANALISTA JR,1250,Maintenance,Operations,SOLTEIRO,SUPERIOR COMPLETO,22.613698630137,21.2219178082192,H,200,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
100,10/1/2008,3/15/2013,Y,Funcionário,4.5,798,GERENTE,743,GERENTE,1100,Sales,Sales,SOLTEIRO,SUPERIOR COMPLETO,27.7232876712329,23.2684931506849,M,400,Middle Mgmt & Exp.Professionals,,,,,,,,,E,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,0
101,10/6/2008,3/20/2013,Y,Funcionário,4.5,727,ANALISTA PL,674,ASSISTENTE,1030,Legal,Legal,SEPARADO,SUPERIOR COMPLETO,31.8986301369863,27.4438356164384,M,300,Coord & Exp.Professionals,,,,,,,,,D,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,1
102,10/13/2008,          ,N,,10.2,801,ANALISTA PL,744,ANALISTA PL,1051,IT - Infra,IT,CASADO,SUPERIOR COMPLETO,39,30.6767123287671,H,300,Coord & Exp.Professionals,311.666666666667,0,43.7,0,120.616666666667,0,30.7833333333333,0,E,,,,Q,105,Q,100,Q,97.9,,,,,,,Y,Y,Y,Y,Y,,,Y,,Y,,Y,,,,,,,0
103,10/13/2008,4/12/2012,Y,Empregador ,3.5,650,ASSISTENTE,650,ASSISTENTE,1280,Service Delivery,Operations,SOLTEIRO,SUPERIOR COMPLETO,23.9643835616438,20.4657534246575,M,100,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,0
